COURSE,Unnamed: 1,TITLE,ACP,CS,COMP1,HUM,NAT,QR,SBS,Year,Term,TermYear,Average_GPA
AAS 300,,"Theories of Race, Gender, and Sexuality",ACP,,,,,,,2026,Spring,2026-sp,
AAS 310,,Race and Cultural Diversity,ACP,US,,,,,,2026,Spring,2026-sp,
AAS 370,,"Immigration, Law, and Rights",ACP,,,,,,,2026,Spring,2026-sp,3.03
AAS 402,,Asian American Education,ACP,US,,,,,,2026,Spring,2026-sp,
ABE 469,,Capstone Design Experience,ACP,,,,,,,2026,Spring,2026-sp,3.63
AE 443,,Aerospace Systems Design II,ACP,,,,,,,2026,Spring,2026-sp,3.56
AFRO 310,,Race and Cultural Diversity,ACP,US,,,,,,2026,Spring,2026-sp,
AFRO 340,,Dancing Black Popular Culture,ACP,US,,HP,,,,2026,Spring,2026-sp,
AFRO 460,,Slavery in the United States,ACP,,,,,,,2026,Spring,2026-sp,
AFRO 474,,"The Black Liberation Movement, 1955-Present",ACP,,,,,,,2026,Spring,2026-sp,
AGCM 220,,Communicating Agriculture,ACP,,,,,,,2026,Spring,2026-sp,3.56
ANSC 205,,World Animal Resources,ACP,,,,,,,2026,Spring,2026-sp,3.64
ANTH 268,,Images of the Other,ACP,WCC,,HP,,,,2026,Spring,2026-sp,3.14
ANTH 270,,Language in Culture,ACP,,,,,,SS,2026,Spring,2026-sp,3.29
ANTH 414,,Writing Ethnography,ACP,,,,,,,2026,Spring,2026-sp,3.32
ARCH 314,,History of World Landscapes,ACP,WCC,,HP,,,,2026,Spring,2026-sp,3.82
ASTR 401,,Scientific Writing for Astronomy,ACP,,,,,,,2026,Spring,2026-sp,
ASTR 490,,Senior Thesis,ACP,,,,,,,2026,Spring,2026-sp,
ATMS 315,,Meteorological Instrumentation,ACP,,,,,,,2026,Spring,2026-sp,3.96
BADM 340,,Ethical Dilemmas of Business,ACP,,,,,,,2026,Spring,2026-sp,3.72
BIOC 460,,Biochemistry Senior Seminar,ACP,,,,,,,2026,Spring,2026-sp,3.46
