title,website,tags,mission,membership_benefits
4 Paws for Ability at the University of Illinois Urbana-Champaign,https://uiuc4paws.com,"Orange Student Organization
 
 - Advocacy & Activism, Community Service & Philanthropy, Education, Pedagogy & Instruction, Social & Behavioral Sciences, Veterinary","We are a certified 501(c)(3) college chapter of 4 Paws for Ability, a nonprofit service dog training organization. Our mission is to spread and support 4 Paws for Ability’s mission of enriching the lives of people with disabilities by placing life-changing service dogs while educating members of the club and members of society about service dogs and their importance.","- Interact with our service dogs in training
- Fun events with our dogs: General Meetings with Guest Speakers, Training Sessions, Member Socials, Fundraisers, Collaborations, & Field Trips
- Opportunities to foster/train/raise a service dog in training
- Become a puppy sitter for our service dogs in training
- Learn more about service dogs, how to interact with service dogs & their importance
- Volunteer hours (if you're a certified handler)"
4-H House Cooperative Sorority,https://one.illinois.edu/4HHouseCooperative/,"Blue Student Organization
 
 - Agricultural, Community Service & Philanthropy, Social & Leisure, Social Fraternities & Sororities","4-H House is a cooperative sorority that serves as a home away from home for 55 women at the University of Illinois at a lower cost. The sorority was founded in 1934 by 4-H member Mary McKee. In 1980, we joined the University of Illinois Greek System, and the opportunities available to 4-H House women were broadened. We are involved in numerous activities throughout the year, including Little Sister and Little Brother Weekends, Mom's and Dad's Day Weekends, Formals, Exchanges with Fraternities, and Philanthropic Activities.","At 4-H House, we do all of our own cooking and cleaning. Jobs are divided by members of the house based on seniority. Girls have the option of cook or dish crews, and either a shorter, daily cleaning house duty or a more intensive weekly house duty. This helps keep costs at a minimum and teaches valuable life skills.
Member of 4-H House also govern themselves. House meeting and chapter meetings are held on Monday evenings. All house members, including new members, elect the officers for the house each semester. The ten house members elected to the Executive Board provide the main leadership for the house. There is also a Junior Executive Board consisting of the remaining elected officers. They plan activities throughout the semester such as rowdy half hours and study breaks during Finals Week."
A Space,https://one.illinois.edu/ASpace/,"Orange Student Organization
 
 - Identity & Culture, Social & Leisure","A Space is a place for people on the asexual and aromatic spectrum, other LGBTQ people and allies of the LGBTQ community to meet and discuss topics relating to asexuality and aromanticism.",
Acacia Fraternity,https://one.illinois.edu/AcaciaFraternity/,"Blue Student Organization
 
 - Social & Leisure, Social Fraternities & Sororities",The mission of the Acacia Fraternity is to develop young men into outstanding leaders in and out of the classroom at the University of Illinois.,
Academic Buzzer Team: A Quiz Bowl Organization,https://one.illinois.edu/AcademicBuzzerTeam/,"Orange Student Organization
 
 - Social & Leisure","We're the Academic Buzzer Team at the University of Illinois. We participate in tournaments of quiz bowl, a competition between two teams in which players answer academic questions in categories such as fine arts, history, literature, science and social sciences. We also host tournaments at the high school and colligate levels and produce question sets for use at other tournaments.
""Regular"" questions are called ""Tossups"", and they are written with many clue, with harder clues proceeding easier clues in what is called ""Pyramidal"" structure. This way players with deeper knowledge of a subject can give correct answers earlier, rewarding extensive knowledge. A team that answers a tossup correctly is given a bonus, as set of (Usually) three related questions that only the controlling team may answer.
If this sounds interesting to you, join us at one of our practices. Mondays and Wednesdays at 6:00 - 9:00 PM room 123 of the English Building, or feel free to send us an email.",
Accounting Club,https://one.illinois.edu/AccountingClub/,"Orange Student Organization
 
 - Business","The purpose of this body shall be:
To conduct professional, social, and philanthropy events and activities for all members of the Accounting club for all members of the University community, including students, faculty, staff and alumni;
To host professional events with corporate sponsors to introduce members to the accounting professional and general business world.
To give advice about professional development through various interactive events, such as mock interviews and resume review.
To host social events to improve relationship bonds between members and the executive board",
ACHA Men's Division II Hockey Club at the University of Illinois Urbana-Champaign,https://one.illinois.edu/ACHAMensDivision2HockeyClub/,"Orange Student Organization
 
 - Athletic & Recreation","Provide Athletic Opportunities in the sport of Ice Hockey to Illinois students, as well as opportunities for students interested in the field of sports management and team operations. Additionally, the Club shall endeavor to establish mutually beneficial working relationships with the number of Illinois student organizations to facilitate the exchange of information and to create a collaborative environment amongst the University's clubs.",
Acoustics at the University of Illinois,https://one.illinois.edu/AcousticsattheUniversityofIllinois/,"Orange Student Organization
 
 - Performance Arts, Social & Behavioral Sciences, Technology, Engineering & Mathematics","To stimulate interest in acoustics, encourage acoustical research, diffuse the knowledge of acoustics, promote its practical applications, and provide a forum wherein the many aspects of acoustics and related disciplines can be examined, discussed, and otherwise explored.",Be part of an open and inclusive community of students and faculty members who are interested in various fields of acoustics. Get a chance to learn from and interact with experts on various acoustics-related topics.
ACS Polymer and Polymer Materials Science and Engineering Divisions UIUC Student Chapter,https://one.illinois.edu/ACSPPOLYPMSE/,"Blue Student Organization
 
 - Technology, Engineering & Mathematics",ACS POLY/PMSE serves to facilitate scientific and personal connections between graduate students interested in soft matter research at UIUC and to foster a collaborative academic community between soft matter research groups on campus and around the nation.,
ActGreen,https://one.illinois.edu/ActGreen/,"Orange Student Organization
 
 - Business, Environmental & Sustainability","Act Green is a sustainable business club dedicated to demonstrating how environmental responsibility aligns with economic success. We believe that integrating sustainability into business is essential for balancing profitability with the preservation of our planet's resources. On campus, Act Green explores the nature of sustainability in business through meaningful discussions and the development of solutions that benefit both the campus and the greater community. As we move forward, it is crucial to recognize that environmental consciousness and profitability can, and should, go hand in hand.",
