major_minor,course_id,course_code,course_name,description,credits_min,credits_max,prerequisites,corequisites,postrequisites,schedule_link,notes
Aerospace Engineering,5172,MATH 221,Calculus I,"First course in calculus and analytic geometry for students with some calculus background; basic techniques of differentiation and integration with applications including curve sketching; antidifferentation, the Riemann integral, fundamental theorem, exponential and trigonometric functions. Course Information: Credit is not given for both MATH 221 and either MATH 220 or MATH 234. Prerequisite: An adequate ALEKS placement score as described at http://math.illinois.edu/ALEKS/ and either one year of high school calculus or a minimum score of 2 on the AB Calculus AP exam. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,, MATH231 CS101 MATH257,https://courses.illinois.edu/schedule/terms/MATH/221,
Aerospace Engineering,5173,CHEM 102,General Chemistry I,"For students who have some prior knowledge of chemistry. Principles governing atomic structure, bonding, states of matter, stoichiometry, and chemical equilibrium. Course Information: Credit is not given for both CHEM 102 and CHEM 202. CHEM 102 and CHEM 103 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit. Prerequisite: Credit in or exemption from MATH 112; one year of high school chemistry or equivalent. All students enrolled in CHEM 102 should also enroll in CHEM 103. Class Schedule Information: Students must register for a combination of one lecture and one quiz section beginning with the same letter.",3,3,,CHEM103, CHEM103 MSE280,https://courses.illinois.edu/schedule/terms/CHEM/102,
Aerospace Engineering,5174,CHEM 103,General Chemistry Lab I,Laboratory studies to accompany CHEM 102. Course Information: Additional fees may apply. See Class Schedule. Credit is not given for both CHEM 103 and CHEM 203. CHEM 102 and CHEM 103 are approved for General Education credit only as a sequence. Both courses must be completed to receive Natural Science and Technology credit. Prerequisite: Credit or concurrent registration in CHEM 102 is required. Class Schedule Information: CHEM 103 is the laboratory course that accompanies CHEM 102. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.,1,1,,CHEM102, CHEM102,https://courses.illinois.edu/schedule/terms/CHEM/103,
Aerospace Engineering,5175,RHET 105,Writing and Research,"Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement. Course Information: Credit is not given for both RHET 105 and any of these other Comp I courses: RHET 101, RHET 102, CMN 111 or CMN 112. Class Schedule Information: Students whose second language is English should take an English placement test through the Division of English as an International Language, before signing up for rhetoric. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,,,,https://courses.illinois.edu/schedule/terms/RHET/105,
Aerospace Engineering,5178,ENG 100,Engineering Orientation,"Introduces students to the Grainger College of Engineering and their respective departments. Students will explore the academic environment at Illinois, developing skills that will aid in learning both inside and outside the classroom, build their leadership and collaborative skills, and build community inside and outside the classroom. Through class discussion and assignments, students will explore campus resources, examine and set goals for academic, personal, and professional development, and develop skills to work in diverse teams through a class project. Class Schedule Information: First-year students should enroll in the section corresponding to their major.",1,1,,,,https://courses.illinois.edu/schedule/terms/ENG/100,
Aerospace Engineering,5177,AE 100,Intro to Aerospace Engineering,Introduction to the Aerospace Engineering curriculum and career. Typical section topics include aircraft and rocket design and flight. Overviews of the topics are presented along with theory to be experimentally verified.,2,2,,,,https://courses.illinois.edu/schedule/terms/AE/100,
Aerospace Engineering,6701,AE 140,CAD,Computer-aided design (CAD) software modeling of engineered components. Sketching and three-dimensional solid modeling. Complex surface modeling. Production of assembly drawings and exploded views. Creation of dimensioned drawings using best practices for manufacturing. Sketching of parts in isometric views and multi-view drawings along with spatial visualization. Aerospace engineering-themed final project. Course Information: Credit is not given for AE 140 and either SE 101 or ME 170. Prerequisite: Restricted to Aerospace Majors.,2,2,,,,https://courses.illinois.edu/schedule/terms/AE/140,
Aerospace Engineering,5179,MATH 231,Calculus II,"Second course in calculus and analytic geometry: techniques of integration, conic sections, polar coordinates, and infinite series. Course Information: Prerequisite: MATH 220 or MATH 221. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, PHYS211 MATH241,https://courses.illinois.edu/schedule/terms/MATH/231,
Aerospace Engineering,5180,PHYS 211,University Physics: Mechanics,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Course Information: Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,MATH231, PHYS212 TAM210 MSE280,https://courses.illinois.edu/schedule/terms/PHYS/211,
Aerospace Engineering,5213,CS 101,Intro Computing: Engrg & Sci,"Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Course Information: Prerequisite: One of MATH 220 or MATH 221 or MATH 231 or MATH 241. Class Schedule Information: Students must register for one lab-discussion and one lecture section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",3,3,MATH220 MATH221,, MATH257,https://courses.illinois.edu/schedule/terms/CS/101,
Aerospace Engineering,5182,MATH 241,Calculus III,"Third course in calculus and analytic geometry including vector analysis: Euclidean space, partial differentiation, multiple integrals, line integrals and surface integrals, the integral theorems of vector calculus. Course Information: Credit is not given for both MATH 241 and MATH 292. Prerequisite: MATH 231. Class Schedule Information: Students must register for one discussion and one lecture section beginning with the same letter in Fall and Spring terms only. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,MATH231,, PHYS212 TAM210 MATH285 ME200 AE311 AE323,https://courses.illinois.edu/schedule/terms/MATH/241,
Aerospace Engineering,5183,PHYS 212,University Physics: Elec & Mag,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Course Information: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241. Class Schedule Information: For students in engineering, mathematics, physics and chemistry. Exams are given in the evening (during fall and spring semesters). Register for a lecture (A) section, a discussion (D) section and a laboratory (L) section. Engineering students must obtain a dean's approval to drop this course after the second week of instruction.",4,4,PHYS211 MATH241,MATH241, ECE205 AE483 AE433,https://courses.illinois.edu/schedule/terms/PHYS/212,
Aerospace Engineering,5184,TAM 210,Introduction to Statics,"Forces, moments, couples; resultants of force systems; equilibrium analysis and free-body diagrams; analysis of forces acting on members of trusses, frames, etc.; shear-force and bending-moment distributions; Coulomb friction; centroids and center of mass; applications of statics in design. Course Information: Credit is not given for both TAM 210 and TAM 211. Prerequisite: PHYS 211; credit or concurrent registration in either MATH 241 OR MATH 257. Class Schedule Information: Meets with TAM 211. A non-standard term course during the first 2/3 of the term. Students must register for one discussion and one lecture section.",2,2,PHYS211 MATH241 MATH257,MATH241 MATH257, TAM212 AE321 AE323,https://courses.illinois.edu/schedule/terms/TAM/210,
Aerospace Engineering,5185,MSE 280,Engineering Materials,"Materials science and engineering of ceramics, electronic materials, metals and polymers. Bonding; crystallography; imperfections; processing and properties of semiconductors, polymers, metals, ceramics and composites; phase diagrams. Case studies. Course Information: Credit is not given for both MSE 280 and any of CEE 300, ME 330, MSE 201. Prerequisite: CHEM 102 and PHYS 211.",3,3,CHEM102 PHYS211,,,https://courses.illinois.edu/schedule/terms/MSE/280,
Aerospace Engineering,7266,MATH 257,Linear Algebra w Computat Appl,"Introductory course incorporating linear algebra concepts with computational tools, with real world applications to science, engineering and data science. Topics include linear equations, matrix operations, vector spaces, linear transformations, eigenvalues, eigenvectors, inner products and norms, orthogonality, linear regression, equilibrium, linear dynamical systems and the singular value decomposition. Course Information: Credit is not given for both MATH 257 and any of MATH 125, MATH 225, MATH 227, MATH 415 or ASRM 406. Prerequisite: MATH 220 or MATH 221; CS 101 or equivalent programming experience. Class Schedule Information: Students must register for a lecture, a lab, and a discussion section.",3,3,MATH221 MATH220 CS101,, TAM210 AE352,https://courses.illinois.edu/schedule/terms/MATH/257,
Aerospace Engineering,5186,MATH 285,Intro Differential Equations,"Techniques and applications of ordinary differential equations, including Fourier series and boundary value problems, and an introduction to partial differential equations. Intended for engineering majors and others who require a working knowledge of differential equations. Course Information: Credit is not given for both MATH 285 and any of MATH 284, MATH 286, MATH 441. Prerequisite: MATH 241.",3,3,MATH241 BIOE205,BIOE205, AE321 AE352 AE312 AE323 AE353,https://courses.illinois.edu/schedule/terms/MATH/285,
Aerospace Engineering,5188,ME 200,Thermodynamics,Classical thermodynamics through the second law; system and control-volume analyses of thermodynamic processes; irreversibility and availability; relations for ideal gas mixtures. Course Information: Credit is not given toward graduation for ME 200 and either ABE 340 or CHBE 321. Prerequisite: MATH 241.,3,3,MATH241 MATH24-,, AE312,https://courses.illinois.edu/schedule/terms/ME/200,
