course_id,name,credit_hours,description,prerequisite,link
AAS 100,Intro Asian American Studies,3,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics. This course satisfies the General Education Criteria for: Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/100
AAS 105,Introduction to Arab American Studies,3,"Interdisciplinary introduction to the basic concepts and approaches in Arab American Studies. Addresses the issues of history, race, social organization, politics, literature, and art related to Arab American experiences. This course satisfies the General Education Criteria for: Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/105
AAS 120,Intro to Asian Am Pop Culture,3,Introductory understanding of the way U.S. popular culture has affected Asian Americans and the contributions Asian Americans have made to U.S. media and popular culture since the mid 1880's. This course satisfies the General Education Criteria for: Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/120
AAS 199,Undergraduate Open Seminar,1 to 5,May be repeated to a maximum of 6 hours.,,https://courses.illinois.edu/schedule/terms/AAS/199
AAS 200,U.S. Race and Empire,3,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200 . This course satisfies the General Education Criteria for: Humanities - Hist & Phil Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/200
AAS 201,US Racial & Ethnic Politics,3,"Same as AFRO 201 , LLS 201 , and PS 201 . See PS 201 . This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/201
AAS 203,"Race, Science, and Technology",3,"Examines the intersection of racism with science and technology in the United States. The class investigates how racism has persisted across fields of scientific knowledge production and how technology has been used to advance systems of discrimination and inequality. It studies how science has been shaped by historical and contemporary structures of racism, including slavery, settler colonialism, immigration, and policing. It also explores justice-oriented approaches to science and technology. This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/203
AAS 211,Asian Americans and the Arts,3,"Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. Prerequisite: AAS 100 or AAS 120 , or consent of instructor. This course satisfies the General Education Criteria for: Humanities - Lit & Arts Cultural Studies - US Minority","Prerequisite: AAS 100 or AAS 120 , or consent of instructor.",https://courses.illinois.edu/schedule/terms/AAS/211
AAS 215,US Citizenship Comparatively,3,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215 , AIS 295 , GWS 215 , and LLS 215 . This course satisfies the General Education Criteria for: Humanities - Hist & Phil Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/215
AAS 246,Asian American Youth in Film,3,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences. This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/246
AAS 258,Muslims in America,3,"Introduction to the study of Muslims in the United States and broadly the history of Islam in the Americas. Using a comparative approach, we study how the historical narrative of African American and Latino Muslims relates to newer immigrant populations, primarily Arab American and South Asian American Muslim communities. Same as LLS 258 and REL 258 . This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/258
AAS 260,Intro Asian American Theatre,3,Same as THEA 260 . See THEA 260 . This course satisfies the General Education Criteria for: Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/260
AAS 275,The Politics of Fashion,3,Same as GWS 275 . See GWS 275 . This course satisfies the General Education Criteria for: Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/275
AAS 281,Constructing Race in America,3,"Same as AFRO 281 , HIST 281 , and LLS 281 . See HIST 281 . This course satisfies the General Education Criteria for: Humanities - Hist & Phil Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/281
AAS 282,Feminist and Queer Activisms,3,Same as GWS 282 and LLS 282 . See GWS 282 . This course satisfies the General Education Criteria for: Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/282
AAS 283,Asian American History,3,Same as HIST 283 . See HIST 283 . This course satisfies the General Education Criteria for: Humanities - Hist & Phil Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/283
AAS 286,Asian American Literature,3,Same as ENGL 286 . See ENGL 286 . This course satisfies the General Education Criteria for: Humanities - Lit & Arts Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/286
AAS 287,Food and Asian Americans,3,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120 , or consent of instructor. This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority","Prerequisite: AAS 100 or AAS 120 , or consent of instructor.",https://courses.illinois.edu/schedule/terms/AAS/287
AAS 288,Global Islam and Feminisms,3,Same as GWS 288 . See GWS 288 . This course satisfies the General Education Criteria for: Cultural Studies - Non-West,,https://courses.illinois.edu/schedule/terms/AAS/288
AAS 290,Individual Study,2 to 3,Supervised reading and research in Asian American Studies chosen by the student with instructor approval. May be repeated to a maximum of 6 hours. Prerequisite: AAS 100 .,Prerequisite: AAS 100 .,https://courses.illinois.edu/schedule/terms/AAS/290
AAS 291,Hinduism in the United States,3,Same as REL 291 . See REL 291 .,,https://courses.illinois.edu/schedule/terms/AAS/291
AAS 297,Asian Families in America,3,Same as HDFS 221 and SOCW 297 . See SOCW 297 . This course satisfies the General Education Criteria for: Social & Beh Sci - Soc Sci Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/297
AAS 299,Begin Topics Asian Am Studies,3,May be repeated in the same or subsequent terms to a maximum of 6 hours.,,https://courses.illinois.edu/schedule/terms/AAS/299
AAS 300,"Theories of Race, Gender, and Sexuality",3,"Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305 . This course satisfies the General Education Criteria for: Advanced Composition",,https://courses.illinois.edu/schedule/terms/AAS/300
AAS 310,Race and Cultural Diversity,4,"Same as AFRO 310 , EPOL 310 , and LLS 310 . See EPOL 310 . This course satisfies the General Education Criteria for: Advanced Composition Cultural Studies - US Minority",,https://courses.illinois.edu/schedule/terms/AAS/310
AAS 315,"War, Memory, and Cinema",3,"Interdisciplinary examination of the ways that memories of war, trauma, and immigration are produced through the medium of film. Because war has been key to discourses and practices of imperialism and globalization, some questions addressed will include how these wars have impacted the nation and the global order, as well as how images about these wars produced important constructions of race, gender, and sexuality for national and cultural identities. Also examines the aftereffects of war by analyzing connections between war's trauma, race, immigration, and incarceration. Students will read critical texts, film theory, screenplays, and view films. Same as GWS 315 . Prerequisite: AAS 100 or AAS 120 , or consent of the instructor.","Prerequisite: AAS 100 or AAS 120 , or consent of the instructor.",https://courses.illinois.edu/schedule/terms/AAS/315
AAS 317,Asian American Politics,3,Same as PS 317 . See PS 317 .,,https://courses.illinois.edu/schedule/terms/AAS/317
AAS 343,Criminalization and Punishment,3,"Same as AFRO 343 , AIS 343 , GWS 343 , and LLS 343 . See LLS 343 .",,https://courses.illinois.edu/schedule/terms/AAS/343
AAS 346,Asian American Youth,3,"Explores cultural production of second-generation Asian American youth as a historical and social formation. Course examines how youth are actively shaping the U.S. landscape in terms of identity formation, youth, culture, education, juvenile justice, politics and activism, and community formations. These experiences are examined in backdrop of larger historical, economic, racial, social and political forces in the United States. Same as HDFS 341 .",,https://courses.illinois.edu/schedule/terms/AAS/346
AAS 355,Race and Mixed Race,3,Same as LLS 355 and SOC 355 . See LLS 355 .,,https://courses.illinois.edu/schedule/terms/AAS/355
AAS 357,Literatures of the Displaced,3,"Same as AIS 357 , ENGL 357 , GWS 357 , and LLS 357 . See LLS 357 .",,https://courses.illinois.edu/schedule/terms/AAS/357
AAS 365,Asian American Media and Film,3,"An examination of media generally and films and videos more specifically (experimental, documentary, independent, and Hollywood features) by, for, and about Asian Americans. Same as MACS 365 . Prerequisite: Any AAS course at the 100- or 200-level, or consent of instructor.","Prerequisite: Any AAS course at the 100- or 200-level, or consent of instructor.",https://courses.illinois.edu/schedule/terms/AAS/365
AAS 370,"Immigration, Law, and Rights",3,"Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372 . This course satisfies the General Education Criteria for: Advanced Composition",,https://courses.illinois.edu/schedule/terms/AAS/370
AAS 375,"Prisons, Race, and Terror",3,"Examination of the U.S. prison regime, focusing on three dimensions of U.S. imprisonment -- criminal justice, immigrant detention, and martial imprisonment, particularly under the War on Terror. Same as LLS 377 .",,https://courses.illinois.edu/schedule/terms/AAS/375
AAS 390,Intermed Topics Asian Am St,3,May be repeated in the same or subsequent terms to a maximum of 6 hours.,,https://courses.illinois.edu/schedule/terms/AAS/390
AAS 402,Asian American Education,4,Same as EPOL 402 . See EPOL 402 . This course satisfies the General Education Criteria for: Advanced Composition Cultural Studies - US Minority,,https://courses.illinois.edu/schedule/terms/AAS/402
AAS 494,Writing with Performance: Politics of Love,3,"Same as ENGL 494 , FAA 494 , GWS 494 , THEA 484 . See FAA 494 .",,https://courses.illinois.edu/schedule/terms/AAS/494
AAS 496,Experiments in Queer of Color Performance,3,"Same as ENGL 496 , FAA 496 , GWS 496 , and THEA 486 . See FAA 496 .",,https://courses.illinois.edu/schedule/terms/AAS/496
AAS 501,Theory and Methods in AAS,4,"Foundational gateway course for graduate study in Asian American Studies, examining the political, historical, epistemological, and cultural bases of the field through an intensive reading of canonical works and study of core concepts in the field. Also highlights the problems of interdisciplinary research and scholarship and adopts an intersectional and coalitional approach to Asian American Studies as it assumes the necessary linkages between other areas in ethic/racial and gender/sexuality studies.",,https://courses.illinois.edu/schedule/terms/AAS/501
AAS 539,"Youth, Culture and Society",4,"Examines youth as a historically and culturally specific social formation; examines discursive and material positioning of youth within broader intersecting racial, cultural, socio-economic, gender and political contexts to situate youth and youth cultural practices within global and local processes. Specific topics include youth cultures, juvenile justice, education, labor, consumerism, politics, sexuality and activism, as well as methodological considerations of conducting research on youth. Same as EPOL 518 , and HDFS 539 .",,https://courses.illinois.edu/schedule/terms/AAS/539
AAS 561,Race and Cultural Critique,4,"Introduction to graduate level theoretical and methodological approaches in Comparative Race Studies. As a survey of theories of race and racism and the methodology of critique, this course offers an interdisciplinary approach that draws from anthropology, sociology, history, literature, cultural studies, and gender/sexuality studies. In addition, the study of racial and cultural formation is examined from a comparative perspective in the scholarship of racialized and Gender and Women's Studies. Same as AFRO 531 , ANTH 565 , GWS 561 , and LLS 561 .",,https://courses.illinois.edu/schedule/terms/AAS/561
AAS 589,Readings in Asian Am Studies,1 to 4,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.,Prerequisite: Graduate standing or consent of instructor.,https://courses.illinois.edu/schedule/terms/AAS/589
AAS 590,Asian Am Studies Seminar,2 to 4,Approved for letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: Graduate standing or consent of instructor.,Prerequisite: Graduate standing or consent of instructor.,https://courses.illinois.edu/schedule/terms/AAS/590
AAS 594,Writing the Minor - Minoritarian Aesthetics,4,"Same as ENGL 594 , FAA 594 , GWS 594 , and THEA 594 . See FAA 594 .",,https://courses.illinois.edu/schedule/terms/AAS/594
AAS 596,Experiments in Minoritarian Aesthetics,4,"Same as ENGL 596 , FAA 596 , GWS 596 , and THEA 596 . See FAA 596 .",,https://courses.illinois.edu/schedule/terms/AAS/596
ABE 127,Introduction to Agricultural & Biological Engineering,2,"Introduction to the engineering profession with career opportunities in the agricultural and biological engineering disciplines. Interactive class activities include concepts necessary for becoming a successful engineer including time management, design concepts, ethics, and team building. Students become familiar with laboratories, computer facilities, and other opportunities that are available to agricultural and biological engineering students. Class emphasis is on problem-solving skills, information synthesis, and technical communication. May not receive credit for both ABE 100 and ABE 127 .",,https://courses.illinois.edu/schedule/terms/ABE/127
ABE 128,Applied Biology for Agricultural and Biological Engineers,3,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141.",,https://courses.illinois.edu/schedule/terms/ABE/128
